_id,likes,name,cname,location,description,birth,thumbnail,imgFolder,imgs,special,thumbs
ObjectId(6504adc0a8a9434b7da4f809),15,Ben,bb,United States,"Ben looks very like Heart, He was rescued by a cat-volunteer together with Naughty and Heart. Now Ben is living with that cat-volunteer. Previously he stayed at our home for a vacation with Heart and Naughty","Oct 5, 2021",images/tab_thumbs/ben_thumbnail.jpeg,images/ben/,"[""ben_sample1.jpeg"",""ben_sample2.jpeg""]",He is living with other dogs and cats,"[""ben_sample1_thumbnail.jpeg"",""ben_sample2_thumbnail.jpeg""]"
ObjectId(6504adbba8a9434b7da4f808),20,Heart,ss,United States,"According to veterinarian, Heart is the elder sister of Naughty and Ben. Unlike Naughty, Heart doesnt stay close to us unless she wants something from us.","Oct 5, 2021",images/tab_thumbs/heart_thumbnail.jpeg,images/heart/,"[""heart_sample.jpeg"",""heart_sample2.jpeg"",""heart_sample4.jpeg"",""heart_sample5.jpeg"",""heart_sample6.jpeg""]",She likes playing ball,"[""heart_sample.jpeg"",""heart_sample2.jpeg"",""heart_sample4.jpeg"",""heart_sample5.jpeg"",""heart_sample6.jpeg""]"
ObjectId(6504ad9ca8a9434b7da4f807),75,Chibi,cb,Hong kong,"Chibi was a stray cat, Mr. & Mrs. Suzuki rescued Chibi and healed her wound.
Later she has become my little sister and now she is living with my parents.As she lived outdoors for a long time, she scares about rainny day and often hides under sofa even she has lived with us for 9 years. In Japanese, ""Chibi"" means little kid.","Oct 25, 2012",images/tab_thumbs/chibi_thumbnail.jpg,images/chibi/,"[""chibi_sample_v2.jpeg"",""chibi_sample4.jpeg"",""chibi_sample3.jpeg"",""chibi_sample5.jpeg""]",Tail looks like a rabbit-tail,"[""chibi_sample_v2.jpeg"",""chibi_sample4.jpeg"",""chibi_sample3.jpeg"",""chibi_sample5.jpeg""]"
ObjectId(6504adc7a8a9434b7da4f80a),25,Naughty,yy,United States,"Naughty is a domestic shorthair cat. She came to our home with her sister: Heart. She follows us everywhere and curious to every new thing we bring to home. We call her as ""Security of our home""","Oct 5, 2021",images/tab_thumbs/naughty_thumbnail.jpeg,images/naughty/,"[""naughty_sample8.jpeg"",""naughty_sample7.jpeg""]",She like being around us,"[""naughty_sample8.jpeg"",""naughty_sample7.jpeg""]"
